cityName,content,gender ,nickName,userLevel,score,time,date,evaluate
郑州,我希望有一天可以像木兰一样勇敢智谋,2,乔煜笙,2,5.0,2020-09-15 18:18:48,2020-09-15,好评
大同,拍的不错，很棒,0,xTY311717954,3,5.0,2020-09-15 18:18:48,2020-09-15,好评
贵阳,挺不错的，喜欢,1,时光*路人,2,5.0,2020-09-15 18:17:09,2020-09-15,好评
西安,非常喜欢这个电影🎬好看！,1,龙虎tiger,1,5.0,2020-09-15 18:17:08,2020-09-15,好评
揭阳,不好看，一点都不好,0,爱吃虫的笨小鸟,2,0.5,2020-09-15 18:17:07,2020-09-15,unkown
重庆,还可以吧！！,0,薛之谦老婆ty,2,4.5,2020-09-15 18:16:24,2020-09-15,好评
合肥,挺好看的，适合女孩子看,2,冷烟766,3,4.5,2020-09-15 18:16:21,2020-09-15,好评
肇庆,  就是全程是讲英文,1,Hank Chen,4,4.0,2020-09-15 18:16:13,2020-09-15,好评
重庆,很好看的一部动画片,1,奥利奥🍪Leo,2,4.0,2020-09-15 18:14:19,2020-09-15,unkown
重庆,中国的经典剧情，居然用英语，我真的是服的五体投地👍🏻👍🏻👍🏻,1,武川,2,0.5,2020-09-15 18:14:05,2020-09-15,unkown
哈尔滨,hao kan,0,一指小旋风,2,5.0,2020-09-15 18:14:05,2020-09-15,好评
昆明,非常好看，很喜欢看这个电影,0,ysZ767063220,3,3.5,2020-09-15 18:13:41,2020-09-15,购票
白城,没看过动画版的 感觉还是蛮好看的,0,童童是糙妹,3,5.0,2020-09-15 18:12:55,2020-09-15,好评
成都,哦，亲爱的编剧，谁让你想出的这么尴尬的台词和这么糟糕的剧情？5分都是冲着刘亦菲的颜值去的。请问这是玄幻剧吗？充满着太多的不合理和尴尬的剧情，这是我第一部看着看着就睡着的电影。看了一个小时就睡着了！睡了半个小时才醒！这电影真是无敌了！,1,离别歌,2,2.5,2020-09-15 18:11:50,2020-09-15,unkown
沈丘,**太好看了 一开始评分那么低还以为不可 真的绝了 妈的 我感觉可好看,0,烨皇啊,2,5.0,2020-09-15 18:11:38,2020-09-15,unkown
长沙,一部中国背景的电影 片方非要包装成上女权等杂七杂八的东西。客户群体喜好都不调查清楚 凭什么想赚我们钱。就凭你是迪士尼？？,0,zPg279595096,2,2.0,2020-09-15 18:11:18,2020-09-15,unkown
唐山,迪士尼出品，必属精品。完美的童话故事，完美的刘亦菲。,2,江南二月天,2,5.0,2020-09-15 18:11:13,2020-09-15,好评
大连,人不都是按动画片儿里来找的吗？逗死我了。跟动画片里长得一样。,1,WZB11110,2,3.5,2020-09-15 18:10:22,2020-09-15,购票
株洲,刘亦菲好飒！！！演技，颜值都在线！就是剧情方面有些地方有点尬，这就是编剧导演的锅了🤓 ,0,立,1,5.0,2020-09-15 18:10:02,2020-09-15,好评
郑州,超级超级好看,0,还能再吃点tt,2,5.0,2020-09-15 18:09:43,2020-09-15,好评
